product,category,price,quantity,revenue
Wireless Earbuds,Electronics,2499,312,779088
Organic Green Tea,Beverages,349,289,100861
Yoga Mat,Fitness,1299,198,257202
Cotton T-Shirt,Clothing,499,374,186626
Vitamin C Serum,Beauty,799,167,133433
Scented Candle Set,Home,899,245,220255
USB-C Hub,Electronics,1899,143,271557
Premium Notebook,Stationery,249,421,104829
Running Shoes,Footwear,3499,89,311411
Face Moisturizer,Beauty,649,203,131747
Steel Water Bottle,Sports,599,318,190482
Bluetooth Speaker,Electronics,1599,176,281424
Desk Lamp,Home,799,134,107066
Protein Powder,Health,1299,95,123405
Sunscreen SPF50,Beauty,499,267,133233
Backpack,Bags,1499,112,167888
Air Freshener,Home,199,445,88555
Earphones Wired,Electronics,399,389,155211
Jeans,Clothing,999,221,220779
Cooking Oil 1L,Groceries,189,512,96768
